mag,taxonomy
SAO-all-DCM-0-8-5-00_bin-388,Eukaryota;-;-;-;-;-;-;-
IO-all-DCM-0-8-5-00_bin-104,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
MS-all-DCM-0-8-5-00_bin-318,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-208,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-515,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
MS-all-SRF-0-8-5-00_bin-479,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-470,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;-;-;-
SAO-all-SRF-0-8-5-00_bin-465,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;-;-
SPO-all-SRF-5-20-00_bin-1,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-0-8-5-00_bin-484,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-71,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-PEOD-DCM-180-2000-00_bin-9,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-all-SRF-180-2000-00_bin-151,Eukaryota;Metazoa;-;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-34,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-
NPO-all-DCM-0-8-5-00_bin-316,Bacteria;Proteobacteria;-;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-414,Eukaryota;-;-;-;-;-;-;-
NPO-all-DCM-20-180-00_bin-13,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-143,Eukaryota;-;-;-;-;-;-;-
SPO-PEOD-SRF-20-180-00_bin-14,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-565,Eukaryota;Metazoa;-;-;-;-;-;-
NPO-all-SRF-5-20-00_bin-46,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-138,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-
SAO-all-SRF-20-180-00_bin-2,Eukaryota;Alveolata;Ciliophora;Spirotrichea;-;-;-;-
MS-all-SRF-0-8-5-00_bin-263,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SAO-all-SRF-5-20-00_bin-23,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-663,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
SPO-all-SRF-20-180-00_bin-84,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-20-180-00_bin-120,Eukaryota;Metazoa;-;-;-;-;-;-
SAO-all-SRF-20-180-00_bin-36,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SO-all-SRF-0-8-5-00_bin-4,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-581,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
MS-all-DCM-5-20-00_bin-24,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-459,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-69,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NAO-all-SRF-5-20-00_bin-3,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NAO-all-SRF-5-20-00_bin-30,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-DCM-20-180-00_bin-84,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-CHIL-SRF-180-2000-00_bin-20,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-PEOD-SRF-20-180-00_bin-1,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-0-8-5-00_bin-113,Eukaryota;-;-;-;-;-;-;-
NAO-all-MIX-5-20-00_bin-30,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-418,Eukaryota;-;-;-;-;-;-;-
IO-all-DCM-0-8-5-00_bin-351,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-180-2000-00_bin-214,Eukaryota;Metazoa;-;-;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-450,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
RS-all-SRF-20-180-00_bin-10,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-180-2000-00_bin-17,Eukaryota;Metazoa;Arthropoda;Branchiopoda;Diplostraca;-;-;-
NAO-all-DCM-20-180-00_bin-2,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-27,Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma;Prasinoderma coloniale
NPO-all-SRF-20-180-00_bin-32,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NAO-all-MIX-20-180-00_bin-24,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
NAO-all-SRF-180-2000-00_bin-100,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-180-2000-00_bin-90,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-20-180-00_bin-119,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-80,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
MS-all-DCM-20-180-00_bin-15,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
IO-all-SRF-20-180-00_bin-38,Eukaryota;Metazoa;Chordata;-;-;-;-;-
SPO-SPSG-SRF-180-2000-00_bin-137,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-336,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-180-2000-00_bin-69,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-477,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-592,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-
SPO-all-SRF-20-180-00_bin-243,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-113,Eukaryota;-;-;-;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-17,Eukaryota;-;-;-;-;-;-;-
SAO-all-MES-0-8-5-00_bin-84,Eukaryota;-;-;-;-;-;-;-
NAO-all-SRF-20-180-00_bin-15,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NAO-all-SRF-20-180-00_bin-42,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-CHIL-SRF-0-8-5-00_bin-213,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-
SO-all-SRF-0-8-5-00_bin-110,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;-;-
IO-all-FSW-0-8-5-00_bin-88,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SO-all-SRF-0-8-5-00_bin-112,Eukaryota;-;-;-;-;-;-;-
NPO-all-SRF-20-180-00_bin-78,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-DCM-0-8-5-00_bin-17,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-207,Eukaryota;-;-;-;-;-;-;-
MS-all-DCM-5-20-00_bin-19,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
MS-all-SRF-0-8-5-00_bin-464,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-65,Eukaryota;Metazoa;-;-;-;-;-;-
NPO-all-DCM-20-180-00_bin-2,Eukaryota;Metazoa;Arthropoda;Insecta;-;-;-;-
IO-all-SRF-180-2000-00_bin-40,Eukaryota;Metazoa;-;-;-;-;-;-
NPO-all-DCM-20-180-00_bin-47,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-379,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-182,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
SAO-all-SRF-0-8-5-00_bin-611,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-5-20-00_bin-49,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-104,Eukaryota;Alveolata;Ciliophora;Spirotrichea;-;-;-;-
IO-all-SRF-180-2000-00_bin-96,Eukaryota;Metazoa;-;-;-;-;-;-
MS-all-DCM-0-8-5-00_bin-10,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
SPO-all-SRF-180-2000-00_bin-308,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-5-20-00_bin-176,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;-;-
NAO-all-DCM-20-180-00_bin-19,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-SRF-20-180-00_bin-84,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-5-20-00_bin-223,Eukaryota;Metazoa;-;-;-;-;-;-
NAO-all-MIX-0-8-5-00_bin-168,Eukaryota;-;-;-;-;-;-;-
NPO-all-DCM-20-180-00_bin-74,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
IO-all-DCM-20-180-00_bin-74,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-484,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus lucimarinus
SPO-all-SRF-0-8-5-00_bin-165,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
MS-all-SRF-0-8-5-00_bin-310,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
MS-all-SRF-0-8-5-00_bin-226,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-
IO-all-SRF-0-8-5-00_bin-243,Eukaryota;-;-;-;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-542,Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;-;-;-
SPO-all-SRF-180-2000-00_bin-279,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-
SO-all-SRF-180-2000-00_bin-3,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-8,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-
NAO-all-SRF-0-8-5-00_bin-127,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;-;-
NAO-all-MIX-0-8-5-00_bin-39,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-SPSG-SRF-180-2000-00_bin-203,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-431,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
IO-all-DCM-0-8-5-00_bin-111,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-
IO-all-SRF-5-20-00_bin-74,Eukaryota;Metazoa;-;-;-;-;-;-
IO-all-SRF-180-2000-00_bin-21,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-CHIL-SRF-0-8-5-00_bin-249,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus lucimarinus
SPO-all-SRF-20-180-00_bin-105,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-20-180-00_bin-190,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
MS-all-SRF-20-180-00_bin-80,Eukaryota;Metazoa;-;-;-;-;-;-
NAO-all-MIX-20-180-00_bin-37,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-SPSG-SRF-0-8-5-00_bin-234,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-551,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-
NPO-all-DCM-0-8-5-00_bin-223,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-18,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-0-8-5-00_bin-348,Eukaryota;-;-;-;-;-;-;-
SAO-all-SRF-20-180-00_bin-42,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-SRF-20-180-00_bin-80,Eukaryota;Metazoa;Chordata;-;-;-;-;-
SPO-PEOD-SRF-20-180-00_bin-45,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NAO-all-DCM-0-8-5-00_bin-171,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas sp.
SPO-SPSG-DCM-20-180-00_bin-14,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-0-8-5-00_bin-251,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-5-20-00_bin-57,Eukaryota;Metazoa;-;-;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-152,Eukaryota;-;-;-;-;-;-;-
SPO-all-SRF-180-2000-00_bin-146,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-SPSG-SRF-180-2000-00_bin-129,Eukaryota;Metazoa;-;-;-;-;-;-
IO-all-SRF-0-8-5-00_bin-504,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
SPO-SPSG-SRF-180-2000-00_bin-78,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-
NAO-all-MIX-0-8-5-00_bin-238,Eukaryota;-;-;-;-;-;-;-
IO-all-DCM-20-180-00_bin-105,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
RS-all-SRF-20-180-00_bin-16,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
MS-all-SRF-20-180-00_bin-4,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-341,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-PEOD-SRF-5-20-00_bin-8,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-
NAO-all-SRF-180-2000-00_bin-81,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-343,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SPO-all-SRF-20-180-00_bin-23,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-20-180-00_bin-129,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-5-20-00_bin-111,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-all-DCM-180-2000-00_bin-43,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-20-180-00_bin-21,Eukaryota;Alveolata;Ciliophora;Spirotrichea;-;-;-;-
NPO-all-DCM-0-8-5-00_bin-310,Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;-;-;-
SAO-all-SRF-0-8-5-00_bin-559,Eukaryota;-;-;-;-;-;-;-
MS-all-SRF-180-2000-00_bin-92,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
MS-all-SRF-0-8-5-00_bin-426,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-
IO-all-SRF-20-180-00_bin-67,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SO-all-DCM-0-8-5-00_bin-49,Eukaryota;-;-;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-506,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SPO-all-SRF-0-8-5-00_bin-825,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-
IO-all-SRF-180-2000-00_bin-72,Eukaryota;Metazoa;-;-;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-307,Eukaryota;-;-;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-327,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;-;-;-
NAO-all-SRF-0-8-5-00_bin-339,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
SAO-all-DCM-180-2000-00_bin-24,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-394,Eukaryota;-;-;-;-;-;-;-
RS-all-DCM-20-180-00_bin-3,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-102,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-
MS-all-DCM-0-8-5-00_bin-224,Eukaryota;-;-;-;-;-;-;-
IO-all-MES-0-8-5-00_bin-59,Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;-;-;-
SAO-all-DCM-0-8-5-00_bin-433,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;-;-
RS-all-SRF-20-180-00_bin-19,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
MS-all-DCM-0-8-5-00_bin-257,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
IO-all-DCM-0-8-5-00_bin-323,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-575,Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma;Prasinoderma singularis
IO-all-DCM-0-8-5-00_bin-325,Eukaryota;-;-;-;-;-;-;-
NPO-all-SRF-20-180-00_bin-43,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-DCM-0-8-5-00_bin-566,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
MS-all-SRF-180-2000-00_bin-27,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-SPSG-DCM-5-20-00_bin-33,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-807,Bacteria;Proteobacteria;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-178,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-0-8-5-00_bin-141,Eukaryota;-;-;-;-;-;-;-
IO-all-FSW-0-8-5-00_bin-66,Eukaryota;-;-;-;-;-;-;-
NAO-all-MIX-0-8-5-00_bin-111,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-575,Eukaryota;-;-;-;-;-;-;-
SPO-SPSG-SRF-20-180-00_bin-94,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-CHIL-DCM-20-180-00_bin-3,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-975,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
MS-all-SRF-0-8-5-00_bin-588,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-380,Eukaryota;-;-;-;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-366,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SAO-all-DCM-0-8-5-00_bin-37,Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus anophagefferens
MS-all-SRF-0-8-5-00_bin-661,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
SPO-all-SRF-20-180-00_bin-51,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-SRF-180-2000-00_bin-56,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
IO-all-SRF-180-2000-00_bin-62,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-all-SRF-0-8-5-00_bin-318,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-
RS-all-SRF-0-8-5-00_bin-50,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos
NPO-all-SRF-20-180-00_bin-48,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-SRF-5-20-00_bin-32,Eukaryota;Metazoa;-;-;-;-;-;-
SPO-SPSG-SRF-5-20-00_bin-3,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
IO-all-MES-0-8-5-00_bin-223,Eukaryota;-;-;-;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-407,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-all-SRF-180-2000-00_bin-31,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-180-2000-00_bin-49,Eukaryota;Metazoa;Arthropoda;Branchiopoda;Diplostraca;-;-;-
SAO-all-SRF-0-8-5-00_bin-212,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;-;-
IO-all-SRF-5-20-00_bin-71,Eukaryota;Metazoa;-;-;-;-;-;-
